Title,Link,Votes
The Framework Laptop is now shipping,https://frame.work/blog/the-framework-laptop-is-now-shipping-and-press-reviews,760
It doesn't take much public creativity to stand out as a job candidate,https://simonwillison.net/2021/Jul/17/standing-out/,239
The Tyranny of Spreadsheets,https://timharford.com/2021/07/the-tyranny-of-spreadsheets/,316
Most URLs are syntactically valid JavaScript code,https://george.mand.is/2021/06/idle-javascript-observations/,106
Hacker News in the Style of Teletext,https://glynnbird.github.io/teletext/,215
Zip – How not to design a file format,https://games.greggman.com/game/zip-rant/,157
The engineer preserving the last analog motion graphics machine (2017) [video],https://www.youtube.com/watch?v=0wxc3mKqKTk,151
RNA demethylation increases rice and potato yields 50%,https://www.nature.com/articles/s41587-021-00982-9,142
MGBA Integration: Introducing the Integrated GBA,https://dolphin-emu.org/blog/2021/07/21/integrated-gba/,141
Migrating Facebook to MySQL 8.0,https://engineering.fb.com/2021/07/22/data-infrastructure/mysql/,448
0x7FDE623822FC16E6: A magic constant for double float reciprocal (2011),http://pvk.ca/Blog/LowLevel/software-reciprocal.html,152
Launch HN: hotglue (YC S21) – Easy user-facing SaaS integrations,item?id=27918900,114
Mitchell Hashimoto takes on a new individual contributor role at HashiCorp,https://www.hashicorp.com/blog/mitchell-s-new-role-at-hashicorp,315
Google broke a conditional statement that verifies passwords on Chrome OS,https://arstechnica.com/gadgets/2021/07/google-pushed-a-one-character-typo-to-production-bricking-chrome-os-devices/,259
